author,occupation,description,gender
Billy Graham,Preacher,"The Rev. Billy Graham is a religious leader with a worldwide reach. In his long career as an evangelist, he has spoken to millions and been an advisor to US presidents. ",male
Birke Baehr,Aspiring organic farmer,"Birke Baehr wants us to know how our food is made, where it comes from, and what's in it. At age 11, he's planning a career as an organic farmer.",male
BJ Miller,Palliative caregiver,"Using empathy and a clear-eyed view of mortality, BJ Miller shines a light on healthcare_ã_s most ignored facet: preparing for death. He is executive director at Zen Hospice Project in San Francisco.",male
Bjarke Ingels,Architect,"Theory meets pragmatism meets optimism in Bjarke Ingels' architecture. His big-think approach is informed by a hands-on, ground-up understanding of the needs of a building's occupants and surroundings. ",male
Bjorn Lomborg,Global prioritizer,"Danish political scientist Bjorn Lomborg heads the Copenhagen Consensus, which has prioritized the world's greatest problems _ã global warming, world poverty, disease _ã based on how effective our solutions might be. It's a thought-provoking, even provocative list.",male
BLACK,Yo-yo champion,"Twice the world yo-yo champion, BLACK mixes dance, sport and performance to create unforgettable yo-yo moments.",male
Blaise Agê_era y Arcas,Software architect,"Blaise Agê_era y Arcas works on machine learning at Google. Previously a Distinguished Engineer at Microsoft, he has worked on augmented reality, mapping, wearable computing and natural user interfaces. He was the co-creator of Photosynth, software that assembles photos into 3D environments.",male
Boaz Almog,Quantum Researcher,"Boaz Almog uses quantum physics to levitate and trap objects in midair. Call it ""quantum levitation.""",male
Bob Mankoff,Cartoon editor,"Bob Mankoff is the cartoon editor of The New Yorker, as well as an accomplished cartoonist in his own right.",male
Robert Thurman,Buddhist scholar,"The first American to be ordained a Tibetan Monk by the Dalai Lama, Robert A.F. Thurman is a scholar, author and tireless proponent of peace.",male
Bobby Ghosh,Editor,Bobby Ghosh is the Managing Editor at Quartz.,male
Bono,"Musician, activist","Bono, the lead singer of U2, uses his celebrity to fight for social justice worldwide: to end hunger, poverty and disease, especially in Africa. His nonprofit ONE raises awareness via media, policy and calls to action.",male
Boyd Varty,Environmental and literacy activist,"In his native South Africa, Boyd Varty builds wildlife corridors to restore the environment and literacy centers to restore the human spirit.",male
David Steindl-Rast,Monk,"Brother David Steindl-Rast, a Benedictine monk, meditates and writes on ""the gentle power"" of gratefulness.",male
Brewster Kahle,Digital librarian,"Brewster Kahle is an inventor, philanthropist and digital librarian. His Internet Archive offers 85 billion pieces of deep Web geology _ã a fascinating look at the formation of the Internet over the years, and a challenge to those who would keep knowledge buried.",male
Brian Cox,Physicist ,"Physicist Brian Cox has two jobs: working with the Large Hadron Collider at CERN, and explaining big science to the general public. He's a professor at the University of Manchester.",male
Brian Dettmer,,"Artist Brian Dettmer digs into a good book (literally, with a knife) to create beautifully intricate forms that reflect how we see old information in a modern world.",male
Brian Goldman,"Physician, broadcaster","Brian Goldman is an emergency-room physician in Toronto, and the host of CBC Radio_ã_s ""White Coat, Black Art.""",male
Brian Greene,Physicist,"Brian Greene is perhaps the best-known proponent of superstring theory, the idea that minuscule strands of energy vibrating in a higher dimensional space-time create every particle and force in the universe.",male
Brian Skerry,Photographer,Brian Skerry is a photojournalist who captures images that not only celebrate the mystery and beauty of the sea but also bring attention to the pressing issue which endanger our oceans.,male
Bruce Aylward,Epidemiologist,"As the Assistant Director-General of the World Health Organization_ã_s Polio and Emergencies Cluster, Bruce Aylward works to ensure that polio stays under control and that the world is prepared to respond to health crises.",male
Bruce Bueno de Mesquita,Political scientist,"A consultant to the CIA and the Department of Defense, Bruce Bueno de Mesquita has built an intricate computer model that can predict the outcomes of international conflicts with bewildering accuracy.",male
Bruce Feiler,Writer,"Bruce Feiler is the author of ""The Secrets of Happy Families,"" and the writer/presenter of the PBS miniseries ""Walking the Bible.""",male
Bruce McCall,Humorist,"Illustrator and humorist Bruce McCall paints our imagined future _ã a supercharged, streamlined fantasyland that teeters on the edge of hysteria. ",male
Bruce Schneier,Security expert,"Bruce Schneier thinks hard about security _ã as a computer security guru, and as a philosopher of the larger notion of making a safer world. ",male
Bruno Bowden,Engineer and origamist,"An engineer with Google (he helped build Google Earth), Bruno Bowden is also an enthusiastic folder of paper.",male
Bryan Stevenson,Public-interest lawyer,"Bryan Stevenson is the founder and executive director of the Equal Justice Initiative, fighting poverty and challenging racial discrimination in the criminal justice system.",male
Burt Rutan,Aircraft engineer,"In 2004, legendary spacecraft designer Burt Rutan won the $10M Ansari X-Prize for SpaceShipOne, the first privately funded craft to enter space twice in a two-week period. He's now collaborating with Virgin Galactic to build the first rocketship for space tourism.",male
C.K. Williams,Poet,"Often called a social poet, C.K. Williams was fascinated by the characters of modern civilization and their interactions. ",male
Caleb Chung,Toy designer,"Caleb Chung dreams up toys that interact with children. He's the inventor of Furby, a talking (and listening) robotic furball that sold some 50 million units in the late '90s. His newest plaything: Pleo the adorable robot dinosaur.",male
Caleb Harper,Principal Investigator and Director of the Open Agriculture Initiative,"Caleb Harper leads a group of engineers, architects, urban planners, economists and plant scientists in the exploration and development of high performance urban agricultural systems.",male
Cameron Sinclair,"Co-founder, Architecture for Humanity","2006 TED Prize winner Cameron Sinclair is co-founder of Architecture for Humanity, a nonprofit that seeks architecture solutions to global crises _ã and acts as a conduit between the design community and the world's humanitarian needs.",male
Carl Honore,Journalist,"In his book In Praise of Slowness, Carl Honorê© dissects our speed-obsessed society and celebrates those who have gotten in touch with their ""inner tortoise.""",male
Carl Safina,"Ecologist, writer","Carl Safina's writing explores the scientific, moral and social dimensions of our relationship with nature.",male
Carl Schoonover,Neuroscience PhD student + writer,"Carl Schoonover is a neuroscientist and one of the founders of NeuWrite, a collaboration between writers and neuroscientist.",male
Carlo Ratti,Architect and engineer,"Carlo Ratti directs the MIT SENSEable City Lab, which explores the ""real-time city"" by studying the way sensors and electronics relate to the built environment. ",male
Carter Emmart,"Scientist, Artist ","Carter Emmart uses astronomy and computational modeling to create scientifically accurate, three-dimensional tours of our universe. ",male
Cary Fowler,Biodiversity archivist,"Biodiversity warrior Cary Fowler wants to save the world from agricultural collapse, one seed at a time. ",male
