subject,verb,object
you,have,"[to, be, looking, five, or, 10, years, ahead]"
vision,do,[that]
I,going,"[what, to, say]"
I,started,"[thinking, about, my, family]"
I,started,"[thinking, about, my, father, and, my, grandfather, and, my, great, -, grandfather]"
I,realized,"[thinking, about, my, father, and, my, grandfather, and, my, great, -, grandfather]"
I,had,[that]
I,started,[company]
We,have,[people]
you,saw,[this]
I,wanted,"[to, impress, you, all, with, slides]"
I,saw,[presentations]
I,made,[graph]
I,talk,[graph]
I,get,[mouth]
which,means,[things]
Kryptonite,had,"[to, adjust, the, lock]"
they,had,"[to, address, it, to, avoid, too, many, customer, concerns]"
Bloggers,exposed,[this]
they,worked,[this]
you,see,[what]
I,see,[this]
that,changing,[way]
we,read,[news]
we,consume,[media]
people,reaching,[thousands]
You,have,[friend]
who,has,[blog]
He,makes,[money]
you,have,[something]
who,need,[it]
Children,get,[it]
they,document,[story]
I,going,"[to, be, an, expert, on, one, thing]"
I,have,[use]
I,missed,[writing]
I,started,"[to, write, a, blog]"
I,started,"[to, create, things, like, these, little, stories]"
I,went,"[me, search, party]"
I,made,"[me, search, party]"
friends,hate,[me]
They,find,[me]
they,sent,"[search, party]"
I,overheard,"[me, search, party]"
I,killed,[myself]
I,started,[blog]
I,going,"[to, be, famous, to, the, world]"
I,set,[goal]
I,going,"[to, win, an, award]"
I,won,[award]
I,going,"[to, win, the, South, by, Southwest, Weblog, award]"
I,won,[it]
I,reached,[all]
I,had,[thousands]
I,wrote,[post]
I,wrote,[post]
I,play,[instruments]
I,know,[anything]
I,like,[music]
I,think,[music]
I,said,[music]
I,do,[that]
I,buy,[banjo]
he,won,[award]
He,told,[me]
You,buy,[banjo]
who,collects,[instruments]
I,wrote,[post]
me,buy,[banjo]
people,understood,[joke]
who,know,[me]
I,make,[joke]
me,dress,[him]
me,post,[pictures]
I,showing,[this]
I,put,[this]
he,kill,[me]
friends,read,[it]
she,wrote,[post]
I,got,[emails]
he,spend,[money]
You,take,[money]
You,buy,[banjo]
you,open,[account]
we,had,"[bank, account]"
people,saying,"[Leave, him]"
they,reading,[this]
I,want,"[to, reach, these, people]"
I,want,"[to, write, for, this, public, audience]"
I,started,"[to, kill, my, blog, slowly]"
I,want,"[to, write, this, anymore]"
I,tell,[stories]
I,wrote,[one]
I,put,[this]
I,going,"[to, get, choked, up]"
she,passed,"[to, get, choked, up]"
I,decided,"[to, break, from]"
I,wanted,"[to, give, her, a, little, memorial]"
you,read,[blogs]
that,interests,[me]
You,see,"[Norman, Rockwell]"
you,have,"[Norman, Rockwell]"
things,resonate,[this]
you,think,[this]
you,have,[this]
that,interest,[me]
that,tell,[stories]
he,writing,[blog]
wife,gave,[birth]
he,expected,[this]
You,have,[day]
he,gets,[pneumonia]
I,encountered,"[a, image]"
you,reading,[this]
everybody,reads,"[what, to, expect]"
he,having,"[failures, breathing, failures, heart, failures]"
it,slowing,"[what, to, expect]"
you,know,"[what, to, expect]"
you,see,[post]
you,going,"[to, see, in, a, paper, or, magazine]"
he,taking,[pictures]
you,read,[blog]
he,received,[treatment]
You,heard,[things]
You,have,"[Google, search]"
you,find,[things]
you,find,[blogs]
that,interest,[them]
We,got,"[to, reach, all, these, people]"
we,want,"[to, be, there]"
that,have,[access]
We,have,[company]
I,find,[that]
we,started,"[to, add, this, slide, this]"
I,had,"[to, add, this, slide]"
I,knew,[minute]
I,showed,[this]
mom,see,[this]
she,read,[blog]
she,say,[blog]
I,have,[people]
I,know,[that]
I,showed,"[Rockwell, painting]"
I,grew,"[Rockwell, painting]"
I,spend,[hours]
kid,has,[hair]
we,evolved,[line]
we,trace,[line]
that,influenced,[me]
I,have,"[record, census]"
I,have,[date]
they,did,[what]
they,spoke,[English]
I,have,[things]
I,spent,[time]
I,spent,[time]
you,have,[record]
that,influenced,[me]
that,done,"[man, wife]"
he,taking,[picture]
I,left,[that]
You,see,[math]
I,have,[this]
I,have,[children]
I,do,[something]
it,captures,[moment]
I,take,[picture]
I,doing,[this]
couple,read,[it]
I,write,[this]
I,showing,[it]
I,go,[it]
people,read,[it]
they,tell,[me]
I,going,"[to, get, people, telling, me, I, have, n't, updated]"
people,telling,[me]
I,doing,[what]
I,put,[pictures]
I,had,"[to, go, for, a, one, -, day, trip]"
I,wanted,"[not, to, be, there]"
you,see,[things]
I,evolved,[it]
I,have,[look]
I,have,[look]
I,want,"[to, tell]"
that,means,[most]
I,doing,[what]
I,tend,[to]
She,writing,"[reading, it]"
we,started,"[reading, it]"
we,had,[blogs]
we,keep,[track]
I,realized,[sort]
blogging,affects,[relationship]
I,flattening,[sort]
she,doing,[what]
that,influenced,[us]
we,empowered,[that]
she,felt,[doing]
we,have,"[to, be, attack, of, the, blogs]"
I,printed,"[PDF, it, blog]"
I,sent,[PDF]
they,passed,[it]
they,mentioned,[blog]
you,thought,[what]
that,going,"[to, change, our, lives]"
I,began,[piece]
we,think,[what]
It,needed,[context]
I,interviewed,[businesswoman]
she,told,[me]
she,have,[time]
You,got,"[to, get, down, there, on, your, back, ,, in, front, of, a, mirror, ,, full, -, length, preferred]"
